Epoch,gpu_mem,box,obj,cls,total,labels,img_size,P,R,mAP@.5,mAP@.5:.95,val_loss_box,val_loss_obj,val_loss_cls,train_set_size,val_set_size,batch_size,total_classes
0/1,0G,0.11141529679298401,0.027779869735240936,0.0,0.13919517397880554,11,640,0.0,0.0,0.0,0.0,0.11136584728956223,0.027435660362243652,0.0,15,14,8,1
1/1,0G,0.11919597536325455,0.02658051624894142,0.0,0.14577649533748627,14,640,0.00037350890244748175,0.07142857142857142,2.936553918593316e-05,2.936553918593316e-06,0.11134064197540283,0.02731160819530487,0.0,15,14,8,1
